host_is_superhost,host_identity_verified,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,cancellation_policy,price
1,1,House,Private room,1,1.5,1,1,Real Bed,415,97,10,10,10,10,10,strict,58
1,1,Apartment,Entire home/apt,4,2,2,2,Real Bed,36,98,10,10,10,10,10,moderate,145
0,0,Apartment,Entire home/apt,4,1.5,2,2,Real Bed,95,95,10,10,10,10,10,strict,100
0,1,Apartment,Entire home/apt,4,1,1,2,Real Bed,173,94,9,10,10,10,10,strict,99
1,0,House,Private room,2,1.5,1,0,Real Bed,38,99,10,10,10,10,10,moderate,60
0,1,Apartment,Entire home/apt,5,1,1,3,Real Bed,86,93,9,10,10,9,9,moderate,139
1,1,Apartment,Private room,1,1,1,1,Real Bed,126,98,10,10,10,10,10,strict,75
1,1,House,Private room,2,1,1,1,Real Bed,66,95,10,10,10,9,9,flexible,55
0,0,Apartment,Private room,2,1.5,1,0,Real Bed,181,91,10,10,9,9,9,strict,42
0,0,Apartment,Entire home/apt,5,1,2,2,Real Bed,23,95,9,9,10,9,9,strict,180
0,0,Apartment,Entire home/apt,4,2,2,2,Real Bed,25,87,8,9,9,9,9,strict,75
0,0,Apartment,Private room,2,1,1,1,Real Bed,41,97,9,10,10,9,9,strict,54
1,0,Apartment,Entire home/apt,4,1,1,1,Real Bed,42,97,9,10,10,10,10,strict,70
1,1,Apartment,Private room,2,1,1,1,Real Bed,70,96,10,10,10,9,10,strict,45
1,0,House,Private room,2,2,1,1,Real Bed,296,98,10,10,10,10,10,flexible,49
0,1,Apartment,Private room,2,1,1,1,Pull-out Sofa,33,97,10,10,10,9,9,moderate,35
1,1,House,Private room,1,1.5,1,1,Real Bed,78,94,10,10,10,10,10,moderate,39
0,1,Apartment,Private room,2,2,1,2,Real Bed,91,89,9,10,10,9,9,flexible,75
0,0,Apartment,Entire home/apt,3,1,1,2,Real Bed,34,88,9,9,9,9,9,strict,88
0,0,Apartment,Entire home/apt,2,1,1,1,Real Bed,64,91,9,10,10,10,9,moderate,120
1,1,House,Private room,1,1.5,1,1,Real Bed,111,97,10,10,10,9,10,strict,27
0,0,House,Private room,1,1,1,1,Real Bed,124,99,10,10,10,10,10,strict,99
0,1,Apartment,Entire home/apt,4,1,1,2,Real Bed,73,88,9,10,9,10,10,moderate,118
